	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
Row	1	2	3	4	5	6	11	12	13	14	15	16	17	18	METAL
1		0	1		0					0					Aluminum
2		1	1		0.5				0	0					Antimony
3			0		0				0	0					Arsenic
4			1		0										Barium
5		0	1		0										Beryllium
6		1	1		0				0				0.8		Bismuth
7	0.5		0		1	0.7				0			0.3	0.7	Cadmium
8			1		0										Calcium
9		0	0	0	0	0							0		Chromium III
10		0			0	0					0	0			Chromium VI
11	0	1	0	0	0	1				1		0	0	0	Cobalt
12	0.7	1	0	1	0	1			1			0	0	1	Copper
13				1	0	1	0	0	0	0			0		Gold
14	0	0	1	1	0	0				1	0	0	0	0	Iron
15				0	0	0				1		0	0		Lead
16					0										Lithium
17		1	1		0										Magnesium
18	1	1	1		0	0						0		0	Manganese
19	0	1	0	0	0	0	1	0	1		0	0	0	0	Mercury
20	1			1	0	0			0	0	1			1	Molybdenum
21	0	1		1	0	0				1		1	1	0	Nickel
22				1	0										Palladium
23				1	0										Platinum
24					0										Potassium
25				1	0										Rhodium
26				1	0	0	0	0	0	0					Selenium
27	1		1	0	0	1	0	0	0	0		0	0	0	Silver
28					0										Sodium
29					0										Strontium
30					1										Tellurium
31	0	0	0		0								0	0	Thallium
32		1	1		0					0			0		Tin
33					0	0									TItanium
34	0				0	1								0	Uranium
35	1		1		0	0								0	Vanadium
36	0				0				0	0			0	0	Zinc
37				0	0										Tungsten
